#metadataBlock	name	dataverseAlias	displayName												
	miappe1.1		MIAPPE												
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id
	miappe1.1.investigation	Investigation	Investigations are research programmes with defined aims. They can exist at various scales (for example, they could encompass a grant-funded programme of work, the various components comprising a peer-reviewed publication, or a single experiment).		none	0		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		miappe1.1
	miappe1.1.investigation_unique_ID	Investigation unique ID	Identifier comprising the unique name of the institution/database hosting the submission of the investigation data, and the accession number of the investigation in that institution.	EBI:12345678	text	1	<a/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	miappe1.1.investigation	miappe1.1
	miappe1.1.investigation_title	Investigation title	Human-readable string summarising the investigation.Same as Citation Metadata Title field.	Adaptation of Maize to Temperate Climates: Mid-Density Genome-Wide Association Genetics and Diversity Patterns Reveal Key Genomic Regions, with a Major Contribution of the Vgt2 (ZCN8) Locus.	textbox	2	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	miappe1.1.investigation	miappe1.1
	miappe1.1.investigation_description	Investigation description	Human-readable text describing the investigation in more detail. Same as Citation Metadata Description field.	The migration of maize from tropical to temperate climates was accompanied by a dramatic evolution in flowering time. To gain insight into the genetic architecture of this adaptive trait, we conducted a 50K SNP-based genome-wide association and divers...	textbox	3	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.investigation	miappe1.1
	miappe1.1.submission_date	Submission date	Date of submission of the dataset presently being described to a host repository.	YYYY-MM-DD	text	4	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.investigation	miappe1.1
	miappe1.1.public_release_date	Public release date	Date of first public release of the dataset presently being described.	YYYY-MM-DD	text	5	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.investigation	miappe1.1
	miappe1.1.license	License	License for the reuse of the data associated with this investigation. The Creative Commons licenses cover most use cases and are recommended.	CC BY-SA 4.0, Unreported	text	6	<a/><br/><b>#NAME:</b> #VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	miappe1.1.investigation	miappe1.1
	miappe1.1.miappe_version	MIAPPE version	The version of MIAPPE used.	MIAPPE 1.1	text	7	<a/><br/><b>#NAME:</b> #VALUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	miappe1.1.investigation	miappe1.1
	miappe1.1.associated_publication	Associated publication	An identifier for a literature publication where the investigation is described. Use of DOIs is recommended.	doi:10.1371/journal.pone.0071377	text	8	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	miappe1.1.investigation	miappe1.1
	miappe1.1.study	Study	A study (or experiment) comprises a series of assays (or measurements) of one or more types, undertaken to answer a particular biological question.		none	9		FALSE	FALSE	TRUE	FALSE	TRUE	TRUE		miappe1.1
	miappe1.1.study_unique_ID	Study unique ID	Unique identifier comprising the name or identifier for the institution/database hosting the submission of the study data, and the identifier of the study in that institution.	EBI:12345678 ; http://phenome-fppn.fr/maugio/2013/t2351	text	10	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	miappe1.1.study	miappe1.1
	miappe1.1.study_title	Study title	Human-readable text summarising the study	2002 evaluation of flowering time for a panel of 375 maize lines at the experimental station of Maugio (France).	text	11	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	miappe1.1.study	miappe1.1
	miappe1.1.study_description	Study description	Human-readable text describing the study	2002 evaluation of male and female flowering time for a panel of 375 maize lines representing the worldwide genetic diversity at the experimental station of Maugio, France.	text	12	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.study	miappe1.1
	miappe1.1.start_date_of_study	Start date of study	Date and, if relevant, time when the experiment started	YYYY-MM-DD	text	13	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	miappe1.1.study	miappe1.1
	miappe1.1.end_date_of_study	End date of study	Date and, if relevant, time when the experiment ended	YYYY-MM-DD	text	14	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.study	miappe1.1
	miappe1.1.contact_institution	Contact institution	Name and address of the institution responsible for the study.	UMR de Génétique Végétale, INRA – Université Paris-Sud – CNRS, Gif-sur-Yvette, France	text	15	<a/><br/><b>#NAME:</b> #VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	miappe1.1.study	miappe1.1
	miappe1.1.geographic_location_country	Geographic location (country)	The country where the experiment took place, either as a full name or preferably as a 2-letter code.	FR	text	16	<a/><br/><b>#NAME:</b> #VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	miappe1.1.study	miappe1.1
	miappe1.1.experimental_site_name	Experimental site name	The name of the natural site, experimental field, greenhouse, phenotyping facility, etc. where the experiment took place.	INRA, UE Diascope - Chemin de Mezouls - Domaine expérimental de Melgueil - 34130 Mauguio - France	text	17	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	miappe1.1.study	miappe1.1
	miappe1.1.geographic_location_latitude	Geographic location (latitude)	Latitude of the experimental site in degrees, in decimal format.	43.619264	text	18	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.study	miappe1.1
	miappe1.1.geographic_location_longitude	Geographic location (longitude)	Longitude of the experimental site in degrees, in decimal format.	3.967454	text	19	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.study	miappe1.1
	miappe1.1.geographic_location_altitude	Geographic location (altitude)	Altitude of the experimental site, provided in metres (m).	100 m	text	20	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.study	miappe1.1
	miappe1.1.description_of_the_experimental_design	Description of the experimental design	Short description of the experimental design, possibly including statistical design. In specific cases, e.g. legacy datasets or data computed from several studies, the experimental design can be "unknown"/"NA", "aggregated/reduced data", or simply 'none'.	Lines were repeated twice at each location using a complete block design. In order to limit competition effects, each block was organized into four sub-blocks corresponding to earliness groups based on a priori information.	text	21	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	miappe1.1.study	miappe1.1
	miappe1.1.type_of_experimental_design	Type of experimental design	Type of experimental design of the study, in the form of an accession number from the Crop Ontology.	CO_715:0000145	text	22	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.study	miappe1.1
	miappe1.1.observation_unit_level_hierarchy	Observation unit level hierarchy	Hierarchy of the different levels of repetitions between each others	block>rep>plot	text	23	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.study	miappe1.1
	miappe1.1.observation_unit_description	Observation unit description	General description of the observation units in the study.	Observation units consisted in individual plots themselves consisting of a row of 15 plants at a density of approximately six plants per square meter. ; NA	text	24	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	miappe1.1.study	miappe1.1
	miappe1.1.description_of_growth_facility	Description of growth facility	Short description of the facility in which the study was carried out.	field environment condition ; NA	text	25	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	miappe1.1.study	miappe1.1
	miappe1.1.type_of_growth_facility	Type of growth facility	Type of growth facility in which the study was carried out, in the form of an accession number from the Crop Ontology.	CO_715:0000162	text	26	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	miappe1.1.study	miappe1.1
	miappe1.1.cultural_practices	Cultural practices	General description of the cultural practices of the study.	Irrigation was applied according needs during summer to prevent water stress.	text	27	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.study	miappe1.1
	miappe1.1.map_of_experimental_design	Map of experimental design	Representation of the experimental design.	https://urgi.versailles.inra.fr/files/ephesis/181000503/181000503_plan.xls	text	28	<a/><br/><b>#NAME:</b> #VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	miappe1.1.study	miappe1.1
	miappe1.1.person	Person	A human involved in the investigation or specifically any of its studies.		none	29		FALSE	FALSE	TRUE	FALSE	TRUE	TRUE		miappe1.1
